Name,People,Tags,Title,Year,PDF,Journal
Murugan2015-rz,"Arvind Murugan, Stanislas Leibler, Zorana Zeravcic",Theory,Multifarious assembly mixtures: systems allowing retrieval of diverse stored structures,2015,Cell%20Learning/Murugan_et_al._2015_-_Multifarious_assembly_mixtures_-_systems_allowing_retrieval_of_diverse_stored_structures.pdf,Proc. Natl. Acad. Sci. U. S. A.
Nakatani2015-fq,,"MMR, Tri-nucleotide Repeats",Large expansion of {CTG•CAG} repeats is exacerbated by {MutS$\beta$} in human cells,2015,Cell%20Learning/Nakatani_et_al._2015_-_Large_expansion_of_CTGCAG_repeats_is_exacerbated_by_MutS_in_human_cells.pdf,Sci. Rep.
Pleska2021-vk,,,"Nongenetic individuality, changeability, and inheritance in bacterial behavior",2021,Cell%20Learning/Pleska_et_al._2021_-_Nongenetic_individuality_changeability_and_inheritance_in_bacterial_behavior.pdf,Proc. Natl. Acad. Sci. U. S. A.
Ponder2005-et,Susan M Rosenberg,"Directed mutation debate, Spatial Non-randomness, Temporal Non-randomness",A switch from high-fidelity to error-prone {DNA} double-strand break repair underlies stress-induced mutation,2005,Cell%20Learning/Ponder_et_al._2005_-_A_switch_from_high-fidelity_to_error-prone_DNA_double-strand_break_repair_underlies_stress-induced_mutation.pdf,Mol. Cell
Rivoire2014-lh,"Olivier Rivoire, Stanislas Leibler",Theory,A model for the generation and transmission of variations in evolution,2014,Cell%20Learning/Rivoire_and_Leibler_2014_-_A_model_for_the_generation_and_transmission_of_variations_in_evolution.pdf,Proc. Natl. Acad. Sci. U. S. A.
Seong2005-hw,,"Metabolism, Tri-nucleotide Repeats",{HD} {CAG} repeat implicates a dominant property of huntingtin in mitochondrial energy metabolism,2005,Cell%20Learning/Seong_et_al._2005_-_HD_CAG_repeat_implicates_a_dominant_property_of_huntingtin_in_mitochondrial_energy_metabolism.pdf,Hum. Mol. Genet.
Sephton2015-pp,,"Granule, LLPS, Neurons, RNA, Tri-nucleotide Repeats",The function of {RNA-binding} proteins at the synapse: implications for neurodegeneration,2015,Cell%20Learning/Sephton_and_Yu_2015_-_The_function_of_RNA-binding_proteins_at_the_synapse_-_implications_for_neurodegeneration.pdf,Cell. Mol. Life Sci.
Serobyan2020-ck,,Transcriptional Adaptation,Transcriptional adaptation in Caenorhabditis elegans,2020,Cell%20Learning/Serobyan_et_al._2020_-_Transcriptional_adaptation_in_Caenorhabditis_elegans.pdf,Elife
Shi2012-hu,,Neurons,Directed differentiation of human pluripotent stem cells to cerebral cortex neurons and neural networks,2012,Cell%20Learning/Shi_et_al._2012_-_Directed_differentiation_of_human_pluripotent_stem_cells_to_cerebral_cortex_neurons_and_neural_networks.pdf,Nat. Protoc.
Stolovicki2006-sd,Erez Braun,,Synthetic gene recruitment reveals adaptive reprogramming of gene regulation in yeast,2006,Cell%20Learning/Stolovicki_et_al._2006_-_Synthetic_gene_recruitment_reveals_adaptive_reprogramming_of_gene_regulation_in_yeast.pdf,Genetics
Suberbielle2013-pe,,"Activity-induced DSB, DSB, Neurons","Physiologic brain activity causes {DNA} double-strand breaks in neurons, with exacerbation by amyloid-$\beta$",2013,Cell%20Learning/Suberbielle_et_al._2013_-_Physiologic_brain_activity_causes_DNA_double-strand_breaks_in_neurons_with_exacerbation_by_amyloid-.pdf,Nat. Neurosci.
Thelen2019-qt,,"Neurons, RNA, Tri-nucleotide Repeats",The Role of {RNA} Binding Proteins for Local {mRNA} Translation: Implications in Neurological Disorders,2019,Cell%20Learning/Thelen_and_Kye_2019_-_The_Role_of_RNA_Binding_Proteins_for_Local_mRNA_Translation_-_Implications_in_Neurological_Disorders.pdf,Front Mol Biosci
Tian2009-dx,,"MMR, Tri-nucleotide Repeats",Distinct nucleotide binding/hydrolysis properties and molar ratio of {MutSalpha} and {MutSbeta} determine their differential mismatch binding activities,2009,Cell%20Learning/Tian_et_al._2009_-_Distinct_nucleotide_binding_-_hydrolysis_properties_a_..._and_MutSbeta_determine_their_differential_mismatch_binding_activities.pdf,J. Biol. Chem.
Venkataraman2022-hg,,"Biological Computation, Theory",Processive and distributive non-equilibrium networks discriminate in alternate limits,2022,Cell%20Learning/Venkataraman_et_al._2022_-_Processive_and_distributive_non-equilibrium_networks_discriminate_in_alternate_limits.pdf,J Stat. Mech.
Williams2015-ml,,"MMR, Tri-nucleotide Repeats",{MSH3} Promotes Dynamic Behavior of Trinucleotide Repeat Tracts In Vivo,2015,Cell%20Learning/Williams_and_Surtees_2015_-_MSH3_Promotes_Dynamic_Behavior_of_Trinucleotide_Repeat_Tracts_In_Vivo.pdf,Genetics
Xue2016-ng,"BingKan Xue, Stanislas Leibler",Theory,Evolutionary learning of adaptation to varying environments through a transgenerational feedback,2016,Cell%20Learning/Xue_and_Leibler_2016_-_Evolutionary_learning_of_adaptation_to_varying_environments_through_a_transgenerational_feedback.pdf,Proc. Natl. Acad. Sci. U. S. A.
Xue2019-wy,"BingKan Xue, Stanislas Leibler",Theory,Environment-to-phenotype mapping and adaptation strategies in varying environments,2019,Cell%20Learning/Xue_et_al._2019_-_Environment-to-phenotype_mapping_and_adaptation_strategies_in_varying_environments.pdf,Proc. Natl. Acad. Sci. U. S. A.
Zhang2011-ci,,"Accelerated Evolution, Evolution",Acceleration of emergence of bacterial antibiotic resistance in connected microenvironments,2011,Cell%20Learning/Zhang_et_al._2011_-_Acceleration_of_emergence_of_bacterial_antibiotic_resistance_in_connected_microenvironments.pdf,Science
Zhang2020-lt,,"Granule, LLPS, Tri-nucleotide Repeats",Nuclear bodies formed by polyQ-ataxin-1 protein are liquid {RNA/protein} droplets with tunable dynamics,2020,Cell%20Learning/Zhang_et_al._2020_-_Nuclear_bodies_formed_by_polyQ-ataxin-1_protein_are_liquid_RNA_-_protein_droplets_with_tunable_dynamics.pdf,Sci. Rep.
Thornquist2021-un,,Neurons,Biochemical evidence accumulates across neurons to drive a network-level eruption,2021,Cell%20Learning/Thornquist_et_al._2021_-_Biochemical_evidence_accumulates_across_neurons_to_drive_a_network-level_eruption.pdf,Mol. Cell
Osman2022-bw,Nigel J Robinson,,Protein metalation in a nutshell,2022,Cell%20Learning/Osman_and_Robinson_2022_-_Protein_metalation_in_a_nutshell.pdf,FEBS Lett.
